freq,rn,nfmin,sopt,s11,s12,s21,s22
999000000.0000000000,5.8794932424,0.0594786658,0.8907301539 / 6.1595101694,0.9374812587 / -16.1465203940,0.0199697385 / 92.4119047177,9.3953191958 / 153.8230048440,0.2552878208 / 22.7992539281
1005500000.0000000000,5.8790690239,0.0595929468,0.8905274079 / 6.1994529116,0.9367924077 / -16.2403905842,0.0201140185 / 92.4195052372,9.3874024552 / 153.6663813911,0.2559982751 / 22.8204575636
1012000000.0000000000,5.8786375936,0.0597077425,0.8903236924 / 6.2393957696,0.9361009103 / -16.3340719524,0.0202585149 / 92.4267552077,9.3794575710 / 153.5099669135,0.2567085358 / 22.8405864852
1018500000.0000000000,5.8781989682,0.0598230501,0.8901190123 / 6.2793387694,0.9354067925 / -16.4275640026,0.0204032276 / 92.4336568109,9.3714848217 / 153.3537619155,0.2574185706 / 22.8596521876
1025000000.0000000000,5.8777531646,0.0599388667,0.8899133728 / 6.3192819368,0.9347100805 / -16.5208662481,0.0205481567 / 92.4402122056,9.3634844853 / 153.1977668931,0.2581283480 / 22.8776660852
1031500000.0000000000,5.8773001990,0.0600551895,0.8897067790 / 6.3592252975,0.9340108004 / -16.6139782110,0.0206933019 / 92.4464235288,9.3554568395 / 153.0419823339,0.2588378367 / 22.8946395109
1038000000.0000000000,5.8768400877,0.0601720160,0.8894992357 / 6.3991688773,0.9333089781 / -16.7068994227,0.0208386631 / 92.4522928964,9.3474021618 / 152.8864087172,0.2595470059 / 22.9105837153
1044500000.0000000000,5.8763728468,0.0602893432,0.8892907480 / 6.4391127017,0.9326046398 / -16.7996294232,0.0209842401 / 92.4578224041,9.3393207293 / 152.7310465143,0.2602558252 / 22.9255098666
1051000000.0000000000,5.8758984920,0.0604071684,0.8890813209 / 6.4790567961,0.9318978112 / -16.8921677617,0.0211300328 / 92.4630141283,9.3312128189 / 152.5758961879,0.2609642648 / 22.9394290495
1057500000.0000000000,5.8754170390,0.0605254889,0.8888709593 / 6.5190011861,0.9311885184 / -16.9845139963,0.0212760410 / 92.4678701267,9.3230787070 / 152.4209581927,0.2616722951 / 22.9523522652
1064000000.0000000000,5.8749285032,0.0606443019,0.8886596682 / 6.5589458968,0.9304767872 / -17.0766676938,0.0214222644 / 92.4723924392,9.3149186695 / 152.2662329750,0.2623798871 / 22.9642904304
1070500000.0000000000,5.8744328998,0.0607636048,0.8884474524 / 6.5988909535,0.9297626434 / -17.1686284299,0.0215687029 / 92.4765830887,9.3067329821 / 152.1117209730,0.2630870123 / 22.9752543774
1077000000.0000000000,5.8739302440,0.0608833947,0.8882343168 / 6.6388363812,0.9290461128 / -17.2603957893,0.0217153563 / 92.4804440814,9.2985219199 / 151.9574226166,0.2637936423 / 22.9852548535
1083500000.0000000000,5.8734205504,0.0610036690,0.8880202664 / 6.6787822049,0.9283272211 / -17.3519693653,0.0218622243 / 92.4839774077,9.2902857577 / 151.8033383276,0.2644997495 / 22.9943025208
1090000000.0000000000,5.8729038340,0.0611244250,0.8878053059 / 6.7187284497,0.9276059939 / -17.4433487598,0.0220093066 / 92.4871850428,9.2820247698 / 151.6494685196,0.2652053064 / 23.0024079556
1096500000.0000000000,5.8723801091,0.0612456599,0.8875894402 / 6.7586751403,0.9268824569 / -17.5345335838,0.0221566031 / 92.4900689470,9.2737392298 / 151.4958135980,0.2659102862 / 23.0095816487
1103000000.0000000000,5.8718493902,0.0613673710,0.8873726741 / 6.7986223014,0.9261566356 / -17.6255234565,0.0223041134 / 92.4926310667,9.2654294109 / 151.3423739602,0.2666146622 / 23.0158340047
1109500000.0000000000,5.8713116914,0.0614895558,0.8871550124 / 6.8385699578,0.9254285556 / -17.7163180063,0.0224518373 / 92.4948733347,9.2570955860 / 151.1891499953,0.2673184084 / 23.0211753424
1116000000.0000000000,5.8707670268,0.0616122115,0.8869364599 / 6.8785181339,0.9246982422 / -17.8069168696,0.0225997744 / 92.4967976703,9.2487380270 / 151.0361420845,0.2680214991 / 23.0256158939
1122500000.0000000000,5.8702154103,0.0617353354,0.8867170212 / 6.9184668544,0.9239657208 / -17.8973196918,0.0227479245 / 92.4984059804,9.2403570057 / 150.8833506008,0.2687239088 / 23.0291658055
